id,nom,description,prix,image,quantite_en_stock
1,Produit 1,Description du produit 1 avec caractéristiques complètes et détails,519.46,product_1.jpg,80
2,Produit 2,Description du produit 2 avec caractéristiques complètes et détails,896.1,product_2.jpg,99
3,Produit 3,Description du produit 3 avec caractéristiques complètes et détails,511.2,product_3.jpg,62
4,Produit 4,Description du produit 4 avec caractéristiques complètes et détails,460.83,product_4.jpg,16
5,Produit 5,Description du produit 5 avec caractéristiques complètes et détails,180.57,product_5.jpg,42
6,Produit 6,Description du produit 6 avec caractéristiques complètes et détails,899.5,product_6.jpg,47
7,Produit 7,Description du produit 7 avec caractéristiques complètes et détails,812.24,product_7.jpg,78
8,Produit 8,Description du produit 8 avec caractéristiques complètes et détails,460.81,product_8.jpg,10
9,Produit 9,Description du produit 9 avec caractéristiques complètes et détails,814.36,product_9.jpg,70
10,Produit 10,Description du produit 10 avec caractéristiques complètes et détails,424.85,product_10.jpg,2
11,Produit 11,Description du produit 11 avec caractéristiques complètes et détails,822.63,product_11.jpg,87
12,Produit 12,Description du produit 12 avec caractéristiques complètes et détails,437,product_12.jpg,9
13,Produit 13,Description du produit 13 avec caractéristiques complètes et détails,268.74,product_13.jpg,25
14,Produit 14,Description du produit 14 avec caractéristiques complètes et détails,291.53,product_14.jpg,50
15,Produit 15,Description du produit 15 avec caractéristiques complètes et détails,59.72,product_15.jpg,64
16,Produit 16,Description du produit 16 avec caractéristiques complètes et détails,537.76,product_16.jpg,37
17,Produit 17,Description du produit 17 avec caractéristiques complètes et détails,355.65,product_17.jpg,90
18,Produit 18,Description du produit 18 avec caractéristiques complètes et détails,182.26,product_18.jpg,58
19,Produit 19,Description du produit 19 avec caractéristiques complètes et détails,271.72,product_19.jpg,41
20,Produit 20,Description du produit 20 avec caractéristiques complètes et détails,539.15,product_20.jpg,78
21,Produit 21,Description du produit 21 avec caractéristiques complètes et détails,269.41,product_21.jpg,76
22,Produit 22,Description du produit 22 avec caractéristiques complètes et détails,690.29,product_22.jpg,72
23,Produit 23,Description du produit 23 avec caractéristiques complètes et détails,304.41,product_23.jpg,17
24,Produit 24,Description du produit 24 avec caractéristiques complètes et détails,185.83,product_24.jpg,34
25,Produit 25,Description du produit 25 avec caractéristiques complètes et détails,599.99,product_25.jpg,88
26,Produit 26,Description du produit 26 avec caractéristiques complètes et détails,325.41,product_26.jpg,24
27,Produit 27,Description du produit 27 avec caractéristiques complètes et détails,47.56,product_27.jpg,24
28,Produit 28,Description du produit 28 avec caractéristiques complètes et détails,304.57,product_28.jpg,65
29,Produit 29,Description du produit 29 avec caractéristiques complètes et détails,649.82,product_29.jpg,60
30,Produit 30,Description du produit 30 avec caractéristiques complètes et détails,178.96,product_30.jpg,8
31,Produit 31,Description du produit 31 avec caractéristiques complètes et détails,828.33,product_31.jpg,59
32,Produit 32,Description du produit 32 avec caractéristiques complètes et détails,911.34,product_32.jpg,30
33,Produit 33,Description du produit 33 avec caractéristiques complètes et détails,679.67,product_33.jpg,3
34,Produit 34,Description du produit 34 avec caractéristiques complètes et détails,992.92,product_34.jpg,38
35,Produit 35,Description du produit 35 avec caractéristiques complètes et détails,598.36,product_35.jpg,14
36,Produit 36,Description du produit 36 avec caractéristiques complètes et détails,200.71,product_36.jpg,20
37,Produit 37,Description du produit 37 avec caractéristiques complètes et détails,596.87,product_37.jpg,96
38,Produit 38,Description du produit 38 avec caractéristiques complètes et détails,932.72,product_38.jpg,89
39,Produit 39,Description du produit 39 avec caractéristiques complètes et détails,875.74,product_39.jpg,71
40,Produit 40,Description du produit 40 avec caractéristiques complètes et détails,657.4,product_40.jpg,27
41,Produit 41,Description du produit 41 avec caractéristiques complètes et détails,582.28,product_41.jpg,29
42,Produit 42,Description du produit 42 avec caractéristiques complètes et détails,964.34,product_42.jpg,16
43,Produit 43,Description du produit 43 avec caractéristiques complètes et détails,391.84,product_43.jpg,47
44,Produit 44,Description du produit 44 avec caractéristiques complètes et détails,778.36,product_44.jpg,87
